10.0,10.0,10.0,10.0,10.0,12.5,10.0,8.75,10.0,8.75
20.0,20.0,20.0,20.0,20.0,22.5,20.0,18.75,20.0,18.75
30.0,30.0,30.0,30.0,30.0,32.5,30.0,28.75,30.0,28.75
40.0,40.0,40.0,40.0,40.0,42.5,40.0,38.75,40.0,38.75
50.0,45.0,50.0,50.0,50.0,52.5,55.0,48.75,50.0,48.75
60.0,60.0,60.0,60.0,60.0,62.5,60.0,58.75,60.0,58.75
70.0,70.0,70.0,70.0,70.0,72.5,70.0,68.75,70.0,68.75
80.0,80.0,80.0,80.0,80.0,82.5,80.0,78.75,80.0,78.75
90.0,90.0,90.0,90.0,90.0,92.5,90.0,83.75,90.0,93.75
100.0,100.0,100.0,100.0,100.0,102.5,100.0,93.75,100.0,103.75
110.0,110.0,110.0,110.0,110.0,112.5,110.0,103.75,110.0,113.75
120.0,120.0,120.0,120.0,120.0,122.5,120.0,113.75,120.0,123.75
130.0,125.0,130.0,130.0,130.0,132.5,135.0,123.75,130.0,133.75
140.0,135.0,140.0,140.0,140.0,142.5,145.0,133.75,140.0,143.75
145.0,145.0,150.0,155.0,150.0,152.5,155.0,143.75,150.0,153.75
155.0,160.0,160.0,165.0,160.0,162.5,160.0,153.75,160.0,163.75
170.0,170.0,170.0,170.0,170.0,172.5,170.0,168.75,170.0,168.75
175.0,180.0,180.0,185.0,180.0,182.5,180.0,173.75,180.0,183.75
190.0,190.0,190.0,190.0,190.0,192.5,190.0,183.75,190.0,193.75
200.0,200.0,200.0,200.0,200.0,202.5,200.0,198.75,200.0,198.75
205.0,205.0,210.0,215.0,210.0,212.5,215.0,203.75,210.0,213.75
215.0,215.0,220.0,225.0,220.0,222.5,225.0,218.75,220.0,218.75
225.0,225.0,230.0,235.0,230.0,232.5,235.0,223.75,230.0,233.75
235.0,235.0,240.0,245.0,240.0,242.5,245.0,233.75,240.0,243.75
245.0,245.0,250.0,255.0,250.0,252.5,255.0,243.75,250.0,253.75
255.0,260.0,260.0,265.0,260.0,262.5,260.0,253.75,260.0,263.75
265.0,270.0,270.0,275.0,270.0,272.5,270.0,263.75,270.0,273.75
275.0,280.0,280.0,285.0,280.0,282.5,280.0,278.75,280.0,278.75
285.0,290.0,290.0,295.0,290.0,292.5,290.0,288.75,290.0,288.75
295.0,300.0,300.0,305.0,300.0,302.5,300.0,298.75,300.0,298.75
305.0,310.0,310.0,315.0,310.0,312.5,310.0,303.75,310.0,313.75
317.5,320.0,318.75,325.0,318.75,322.5,320.0,318.75,320.0,318.75
327.5,330.0,328.75,335.0,328.75,332.5,330.0,323.75,330.0,333.75
337.5,340.0,338.75,345.0,338.75,342.5,340.0,338.75,340.0,338.75
347.5,350.0,348.75,355.0,348.75,352.5,350.0,348.75,350.0,348.75
357.5,360.0,358.75,365.0,358.75,362.5,360.0,358.75,360.0,358.75
367.5,370.0,368.75,375.0,368.75,372.5,370.0,368.75,370.0,368.75
377.5,380.0,378.75,385.0,378.75,382.5,380.0,378.75,380.0,378.75
387.5,390.0,388.75,395.0,388.75,392.5,390.0,388.75,390.0,388.75
397.5,400.0,398.75,405.0,398.75,402.5,400.0,398.75,400.0,398.75
407.5,410.0,408.75,415.0,408.75,412.5,410.0,408.75,410.0,408.75
417.5,420.0,418.75,425.0,418.75,422.5,420.0,418.75,420.0,418.75
431.25,430.0,428.75,431.25,428.75,432.5,430.0,428.75,430.0,428.75
441.25,440.0,438.75,441.25,438.75,442.5,440.0,438.75,440.0,438.75
451.25,450.0,448.75,451.25,448.75,452.5,450.0,448.75,450.0,448.75
461.25,460.0,458.75,461.25,458.75,462.5,460.0,458.75,460.0,458.75
466.25,470.0,468.75,476.25,468.75,472.5,470.0,468.75,470.0,468.75
481.25,480.0,478.75,481.25,478.75,482.5,480.0,478.75,480.0,478.75
491.25,485.0,488.75,491.25,488.75,492.5,495.0,488.75,490.0,488.75
501.25,495.0,498.75,501.25,498.75,502.5,505.0,498.75,500.0,498.75
